,id,user_retweet_count,user_favirite_count,tweet_text,tweet_user_location,tweet_created_date
0,1546787596088623104,0,0,@iamkevingates this is what I see. Nothing spiritual at all. Or nothing. Like the voice you carry. Or nothing like the day awake. And nothing like the flesh we make. This day too be told. For all of this history. I deserve the freedom! As well as we all. Too. #getit,,2022-07-12 09:24:35
1,1546787275505569792,0,0,"GM 🤟❤✅ 

Day-158(I'm determined)
Goal-To Become""The 2nd  Woman""to Win @Banterbags2
 💼
Reason-Sticking to small Goals to Achieve Financial Freedom🙌 

Love @crypto_banter
for Life!700k Subs Soon🍾💃 
@cryptomanran👀 Master fan here
@producer_fred @Sheldon_Sniper @HustlepediaYT https://t.co/XC9jpexQK2",,2022-07-12 09:23:19
2,1546786953101824000,0,1,Jesus @talkSPORT is sinking to new levels when @JimWhite and Shebahn have a dig at Simon Jordan for not watching the womens football! What happened to freedom of choice? A pair of sports Nazis! Take a day off!,Cuntsville,2022-07-12 09:22:02
3,1546785858166079488,0,0,Govn't need another leader to undo freedom day 19/7/2.,,2022-07-12 09:17:41
4,1546785769590767620,0,0,"Grasp not
for freedom is lost
within the hold
of clutched hands.
Opened, they comfort
the conceivable return
that one day might appear.

#vsspoem #grasp
#poetrycommunity
#poetry #prompt
#AmWriting #WordedArt","Madrid, Spain",2022-07-12 09:17:20
5,1546785539290005505,0,0,#NetworkMarketingSponsoring The quickest method to repair your prospect lack will be to pay a visit to our site to check out just how much targeted traffic I'm gaining every day without cost https://t.co/vaErC3tapf https://t.co/f6dr0IWA1O,"South West, England",2022-07-12 09:16:25
6,1546784786206834688,0,0,"Free speech to the Supreme Court and RW media, means freedom to push lies and conspiracy theories. 

Their total abuse of the 1st Amendment weakens Democracy every day !!

SAVE DEMOCRACY 
VOTE BLUE !!","Pennsylvania, USA",2022-07-12 09:13:25
7,1546784759132655616,0,0,@spaniel5 @OxfordDiplomat sorry to hear that but I could spend the day one upping you on that front. Point is its wrong 2 put picture/names/slogans on a bonfire. We all need to move on+leave that in the past and it may be some have to give up their 'freedom of speech' in the interests of peace,,2022-07-12 09:13:19
8,1546784356462903296,1,1,Feel very sad that ppl don't choose to wear masks when we are losing 100+ppl a week to Covid... We have vulnerable ppl in our lives every day.  This is not a freedom issue. It is a life and death issue. https://t.co/NJCbjpvuRe,New Zealand,2022-07-12 09:11:43
9,1546783357178064896,0,0,"A universe of 8 billion which expects a strong future for all guaranteeing freedom and decisions for all.
World Population Day 2022 https://t.co/v9j3mj3Muv","Mohaddipur, Gorakhpur",2022-07-12 09:07:44
